query,original_query,concepts
Set in the Edo period but not Japanese historical films,<mark>Films set in the Edo period</mark> that are not <mark>Japanese historical films</mark>,"[""Films set in the Edo period"", ""Japanese historical films""]"
South America or Cathartidae Pliocene birds,<mark>Pliocene birds of South America</mark> or <mark>Cathartidae</mark>,"[""South America"", ""Cathartidae (New World vultures)"", ""Pliocene epoch"", ""Fossil birds""]"
1999 novels that are Headline Publishing Group books,<mark>Headline Publishing Group books</mark> that are also <mark>1999 novels</mark>,"[""Novels"", ""1999 books"", ""Headline Publishing Group books""]"
2015 drama films about astronomy and industries,<mark>2015 drama films</mark> that are also both <mark>Films about astronomy</mark> and <mark>Films about industries</mark>,"[""2015 films"", ""Drama films"", ""Films about astronomy"", ""Films about industry""]"
Nonlinear narrative Indian films about theft,<mark>Films about theft</mark> that are also <mark>Indian nonlinear narrative films</mark>,"[""Nonlinear narrative films"", ""Indian films"", ""Films about theft""]"
what are some  Danish sequel films or Finnish sequel films,<mark>Danish sequel films</mark> or <mark>Finnish sequel films</mark>,"[""Danish sequel films"", ""Finnish sequel films""]"
Films set in 1820 or 1808 or about the French invasion of Russia,<mark>Films set in 1820</mark> or <mark>Films set in 1808</mark> or <mark>Films about the French invasion of Russia</mark>,"[""Early nineteenth-century historical films"", ""Films set during the Napoleonic Wars"", ""Films about the French invasion of Russia"", ""Russian historical war films""]"
Podicipediformes or birds described in 1959,<mark>Birds described in 1959</mark> or <mark>Podicipediformes</mark>,"[""Podicipediformes (grebes)"", ""Bird species described in 1959""]"
Trees from Western Canada that are not found in the Northwestern US,<mark>Trees of Western Canada</mark> that are not <mark>Flora of the Northwestern United States</mark>,"[""Trees of Western Canada"", ""Trees of the Northwestern United States""]"
Hummingbirds from the Bolivian Andres and the Americas,<mark>Hummingbirds</mark> that are also both <mark>Birds of the Bolivian Andes</mark> and <mark>Birds of the Americas</mark>,"[""Hummingbirds"", ""Hummingbirds of the Bolivian Andes"", ""Hummingbirds of South America"", ""Hummingbirds of North America""]"
Birds of the Middle East and Tibet and Fauna of East Asia,<mark>Birds of Tibet</mark> that are also both <mark>Fauna of East Asia</mark> and <mark>Birds of the Middle East</mark>,"[""Birds of the Middle East"", ""Birds of Tibet"", ""Fauna of East Asia""]"
Paranormal novels that are American vampire novels excluding Contemporary fantasy novels,<mark>Paranormal novels</mark> that are also <mark>American vampire novels</mark> but not <mark>Contemporary fantasy novels</mark>,"[""Paranormal novels"", ""Vampire novels"", ""American novels"", ""Contemporary fantasy novels""]"
Trees of Martinique or French Guiana Palms,<mark>Palms of French Guiana</mark> or <mark>Trees of Martinique</mark>,"[""Trees of Martinique"", ""Palms of French Guiana""]"
"Plants that are found in Bangladesh, South Africa, and Taiwan",<mark>Flora of Bangladesh</mark> that are also both <mark>Flora of South Africa</mark> and <mark>Flora of Taiwan</mark>,"[""Flora of Bangladesh"", ""Flora of South Africa"", ""Flora of Taiwan""]"
2000s romantic thrillers that are not indian.,<mark>2000s romantic thriller films</mark> that are not <mark>Indian romantic thriller films</mark>,"[""Romantic thriller films"", ""2000s films"", ""Indian films""]"
Plants from the Bible,<mark>Plants in the Bible</mark>,"[""Plants mentioned in the Bible"", ""Trees in the Bible"", ""Agricultural crops in the Bible"", ""Herbs and spices in the Bible"", ""Medicinal plants in the Bible""]"
1992 non-American independent films,<mark>1992 independent films</mark> that are not <mark>American independent films</mark>,"[""Independent films"", ""Early 1990s films"", ""American films""]"
what are Flora of Eastern Asia that are also Flora of Manchuria but not Flora of Eastern Europe,<mark>Flora of Eastern Asia</mark> that are also <mark>Flora of Manchuria</mark> but not <mark>Flora of Eastern Europe</mark>,"[""Flora of Eastern Asia"", ""Flora of Manchuria"", ""Flora of Eastern Europe""]"
Trees of Saskatchewan or Manitoba,<mark>Trees of Saskatchewan</mark> or <mark>Trees of Manitoba</mark>,"[""Trees of Saskatchewan"", ""Trees of Manitoba"", ""Trees of the Canadian Prairies"", ""Boreal forest trees of Canada""]"
Medicinal plants that are from both Southwestern Europe and Bulgaria,<mark>Medicinal plants of Europe</mark> that are also both <mark>Flora of Bulgaria</mark> and <mark>Flora of Southwestern Europe</mark>,"[""Medicinal plants"", ""Flora of Southwestern Europe"", ""Flora of Bulgaria""]"
2010 Supernatural documentary films,<mark>Supernatural films</mark> that are also <mark>2010 documentary films</mark>,"[""Documentary films"", ""Paranormal and supernatural themes"", ""2010 films""]"
what are Austrian erotic novels,<mark>Austrian erotic novels</mark>,"[""Erotic novels"", ""Austrian novels"", ""German-language novels""]"
novels about adultery that are set in new england,<mark>Adultery in novels</mark> that are also <mark>Novels set in New England</mark>,"[""Novels about adultery"", ""Novels set in New England"", ""American novels"", ""Domestic fiction""]"
Prehistoric reptiles of South America excluding Cenozoic birds of South America,<mark>Prehistoric reptiles of South America</mark> that are not <mark>Cenozoic birds of South America</mark>,"[""Reptiles of South America"", ""Prehistoric animals of South America"", ""Cenozoic birds of South America""]"
What Books about California that are also from the Hachette Book Group but not about Los Angeles,<mark>Books about California</mark> that are also <mark>Hachette Book Group books</mark> but not <mark>Books about Los Angeles</mark>,"[""Books about California"", ""Books published by Hachette Book Group"", ""Books about Los Angeles""]"
French Novels set in the atlantic ocean that are also social science books,<mark>Novels set in the Atlantic Ocean</mark> that are also both <mark>French books</mark> and <mark>Social sciences books</mark>,"[""French-language novels"", ""Novels set in the Atlantic Ocean"", ""Social science books""]"
"American romance films about mental disorders, that aren't drama films.",<mark>American romance films</mark> that are also <mark>Films about mental disorders</mark> but not <mark>American romantic drama films</mark>,"[""American films"", ""Romance films"", ""Films about mental disorders"", ""Drama films""]"
Plants found in Guam or Palau or carnivorous plants found in the Pacific,<mark>Flora of Guam</mark> or <mark>Flora of Palau</mark> or <mark>Carnivorous plants of the Pacific</mark>,"[""Flora of Guam"", ""Flora of Palau"", ""Carnivorous plants of the Pacific Islands""]"
1983 speculative fiction novels excluding 1983 American novels,<mark>1983 speculative fiction novels</mark> that are not <mark>1983 American novels</mark>,"[""1983 speculative fiction novels"", ""1983 science fiction novels"", ""1983 fantasy novels"", ""1983 horror novels"", ""1983 American novels""]"
Epic films about christianity not set in Israel,<mark>Films about Christianity</mark> that are also <mark>Religious epic films</mark> but not <mark>Films set in Israel</mark>,"[""Epic films"", ""Films about Christianity"", ""Religious epic films"", ""Films set in Israel""]"
Monotypic asterid genera and Garden plants of Asia,<mark>Garden plants of Asia</mark> that are also <mark>Monotypic asterid genera</mark>,"[""Monotypic asterid genera"", ""Garden plants of Asia"", ""Asterid genera used in horticulture""]"
2010s documentary films set in New York City but that are not about urban studies,<mark>Films set in New York City</mark> that are also <mark>2010s documentary films</mark> but not <mark>Documentary films about urban studies</mark>,"[""2010s documentary films"", ""Documentary films set in New York City"", ""Documentary films about urban studies""]"
Cricket films not set in India,<mark>Cricket films</mark> that are not <mark>Films set in India</mark>,"[""Cricket films"", ""Films set in India"", ""Films set in the United Kingdom"", ""Films set in Australia"", ""Films set in Pakistan""]"
Cacti of Nuevo that are also in both North America and Northeastern Mexico,<mark>Flora of Nuevo León</mark> that are also both <mark>Cacti of North America</mark> and <mark>Flora of Northeastern Mexico</mark>,"[""Cacti of Nuevo Le\u00f3n (Mexico)"", ""Cacti of North America"", ""Cacti of Northeastern Mexico""]"
1877 French children's novels,<mark>French children's novels</mark> or <mark>1877 French novels</mark>,"[""Children's novels from France"", ""Novels published in 1877"", ""19th-century French children's literature""]"
1930's romantic non drama films about security and surveillance,<mark>1930s romance films</mark> that are also <mark>Films about security and surveillance</mark> but not <mark>1930s romantic drama films</mark>,"[""Interwar-era films"", ""Romance films"", ""Drama films"", ""Spy films"", ""Films about surveillance""]"
1993 novels from Australia or David Malouf novels,<mark>1993 Australian novels</mark> or <mark>Novels by David Malouf</mark>,"[""1990s novels"", ""Australian novels"", ""Novels by David Malouf""]"
Books by Eric S. Raymond or about Unix,<mark>Books by Eric S. Raymond</mark> or <mark>Unix books</mark>,"[""Books by Eric S. Raymond"", ""Books about Unix"", ""Unix programming books"", ""Unix system administration books""]"
Fauna of East Africa that are Birds described in 1869,<mark>Birds described in 1869</mark> that are also <mark>Fauna of East Africa</mark>,"[""Birds of East Africa"", ""Bird species described in the 1860s""]"
what are Angiosperms that are also Endemic flora of Tasmania,<mark>Angiosperms</mark> that are also <mark>Endemic flora of Tasmania</mark>,"[""Angiosperms"", ""Endemic flora of Tasmania""]"
Films from Hong Kong about revenge and not about games,<mark>Hong Kong films about revenge</mark> that are not <mark>Films about games</mark>,"[""Hong Kong films"", ""Revenge films"", ""Films about games""]"
what are Fabales genera that are both Forages and Angiosperms,<mark>Fabales genera</mark> that are also both <mark>Forages</mark> and <mark>Angiosperms</mark>,"[""Genera of Fabales"", ""Forage plants"", ""Angiosperms""]"
Political books critical of Christianity that are based on actual events,<mark>Books based on actual events</mark> that are also both <mark>Books critical of Christianity</mark> and <mark>Political books</mark>,"[""Political nonfiction books"", ""Books critical of Christianity"", ""Nonfiction books based on actual events"", ""Books about church\u2013state relations"", ""Books on Christian nationalism""]"
"Czech thriller drama film,Belgian mystery films, or German animated science fiction films",<mark>Czech thriller drama films</mark> or <mark>Belgian mystery films</mark> or <mark>German animated science fiction films</mark>,"[""Czech films"", ""Thriller films"", ""Drama films"", ""Belgian films"", ""Mystery films"", ""German films"", ""Animated films"", ""Science fiction films""]"
"what are some Polish erotic drama films, Icelandic science fiction films, or Swiss thriller drama films",<mark>Polish erotic drama films</mark> or <mark>Icelandic science fiction films</mark> or <mark>Swiss thriller drama films</mark>,"[""Polish erotic drama films"", ""Icelandic science fiction films"", ""Swiss thriller drama films""]"
Novels that take place in Vietnam but not about the military,<mark>Novels set in Vietnam</mark> that are not <mark>Novels about the military</mark>,"[""Novels set in Vietnam"", ""Novels about the military""]"
Films based on Chinese romanced novels adopted to film that are not drama,<mark>Chinese romance films</mark> that are also <mark>Films based on Chinese novels</mark> but not <mark>Chinese drama films</mark>,"[""Films based on Chinese romance novels"", ""Film adaptations of Chinese literature"", ""Films based on romance novels"", ""Drama films""]"
Films set in Asia about psychic powers that are not Science fiction,<mark>Films set in Asia</mark> that are also <mark>Films about psychic powers</mark> but not <mark>Science fiction films</mark>,"[""Films set in Asia"", ""Films about psychic powers"", ""Science fiction films""]"
Animals found in Santo Antão Cape Verde or native birds of Cape Verde,<mark>Fauna of Santo Antão Cape Verde</mark> or <mark>Endemic birds of Cape Verde</mark>,"[""Animals of Santo Ant\u00e3o, Cape Verde"", ""Native birds of Cape Verde""]"
